City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
61,Haines Junction,60.75,-137.51,3.2,84,100,3.36,overcast clouds,CA,2020-11-08 14:18:19
62,Hirara,24.8,125.28,74.14,82,100,30.8,light rain,JP,2020-11-08 14:12:46
63,Castro,-24.79,-50.01,82.78,34,4,2.68,clear sky,BR,2020-11-08 14:14:24
64,Bluff,-46.6,168.33,50.0,86,74,3.0,broken clouds,NZ,2020-11-08 14:14:23
65,Chokurdakh,70.63,147.92,-6.48,93,100,1.19,overcast clouds,RU,2020-11-08 14:14:37
66,Bhigvan,18.32,74.77,76.26,48,0,10.16,clear sky,IN,2020-11-08 14:18:20
67,Flagstaff,35.2,-111.65,27.0,86,75,9.17,broken clouds,US,2020-11-08 14:17:02
68,Kruisfontein,-34.0,24.73,66.99,71,2,10.0,clear sky,ZA,2020-11-08 14:14:38
69,Port Hardy,50.7,-127.42,41.0,80,5,11.41,clear sky,CA,2020-11-08 14:14:42
70,Hithadhoo,-0.6,73.08,84.61,71,0,10.29,clear sky,MV,2020-11-08 14:14:34
71,Kahului,20.89,-156.47,78.8,65,1,12.75,clear sky,US,2020-11-08 14:14:26
72,New Norfolk,-42.78,147.06,48.0,69,6,1.74,clear sky,AU,2020-11-08 14:14:35
73,Cuenca,-2.88,-78.98,53.6,71,100,5.82,overcast clouds,EC,2020-11-08 14:18:21
74,Mar Del Plata,-38.0,-57.56,66.2,82,75,4.47,broken clouds,AR,2020-11-08 14:13:41
75,Kodiak,57.79,-152.41,48.2,81,40,5.82,scattered clouds,US,2020-11-08 14:12:56
76,Bredasdorp,-34.53,20.04,62.6,67,90,14.99,overcast clouds,ZA,2020-11-08 14:14:25
77,Jeremie,18.65,-74.12,81.55,75,100,4.92,overcast clouds,HT,2020-11-08 14:18:21
78,Huangchuan,32.13,115.04,58.33,36,0,4.14,clear sky,CN,2020-11-08 14:18:22
79,Sorso,40.8,8.58,73.4,60,0,2.24,clear sky,IT,2020-11-08 14:18:22
80,Marinette,45.1,-87.63,55.4,81,40,9.17,scattered clouds,US,2020-11-08 14:18:22
81,Reconquista,-29.15,-59.65,78.62,59,100,7.05,overcast clouds,AR,2020-11-08 14:18:23
82,Faya,18.39,42.45,69.8,64,40,16.11,scattered clouds,SA,2020-11-08 14:18:23
83,Georgetown,5.41,100.34,82.4,83,40,6.93,scattered clouds,MY,2020-11-08 14:10:18
84,Shache,38.42,77.24,44.98,44,32,7.23,scattered clouds,CN,2020-11-08 14:12:07
85,Port Blair,11.67,92.75,81.61,82,1,7.52,clear sky,IN,2020-11-08 14:14:22
86,Jalu,29.03,21.55,75.4,43,87,9.84,overcast clouds,LY,2020-11-08 14:15:39
87,Bowen,-20.02,148.23,75.2,69,90,12.75,overcast clouds,AU,2020-11-08 14:18:24
88,Hilo,19.73,-155.09,75.2,83,90,5.82,moderate rain,US,2020-11-08 14:10:17
89,Coquimbo,-29.95,-71.34,59.0,77,75,9.17,broken clouds,CL,2020-11-08 14:14:50
90,Port Elizabeth,-33.92,25.57,68.0,68,40,14.99,scattered clouds,ZA,2020-11-08 14:14:22
91,Lompoc,34.64,-120.46,51.8,76,75,14.18,broken clouds,US,2020-11-08 14:12:31
92,Marsa Matruh,31.35,27.25,70.66,74,100,18.95,moderate rain,EG,2020-11-08 14:18:24
93,Bambous Virieux,-20.34,57.76,77.0,78,40,11.41,scattered clouds,MU,2020-11-08 14:11:46
94,Muros,42.78,-9.06,61.0,82,40,13.87,scattered clouds,ES,2020-11-08 14:15:51
95,Mataura,-46.19,168.86,50.0,86,36,3.0,scattered clouds,NZ,2020-11-08 14:14:25
96,Yakima,46.47,-120.67,35.6,51,90,3.29,overcast clouds,US,2020-11-08 14:18:25
97,Corinth,37.94,22.96,68.0,42,35,9.8,scattered clouds,GR,2020-11-08 14:18:25
98,Albany,42.6,-73.97,53.01,100,40,1.59,scattered clouds,US,2020-11-08 14:10:34
99,Qaanaaq,77.48,-69.36,-5.57,73,96,10.78,overcast clouds,GL,2020-11-08 14:14:30
100,Port Keats,-14.25,129.55,85.05,67,0,6.46,clear sky,AU,2020-11-08 14:15:55
101,Lazaro Cardenas,17.96,-102.2,76.06,83,65,5.19,broken clouds,MX,2020-11-08 14:15:10
102,Troitsko-Pechorsk,62.71,56.2,29.75,99,100,4.94,overcast clouds,RU,2020-11-08 14:18:25
103,Upernavik,72.79,-56.15,0.09,75,0,6.73,clear sky,GL,2020-11-08 14:10:58
