City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Busselton,AU,2020-11-07 18:31:21,-33.65,115.33,55.0,66,54,3.27
70,Toora-Khem,RU,2020-11-07 18:31:21,52.47,96.11,26.53,95,77,2.66
71,Mar Del Plata,AR,2020-11-07 18:31:05,-38.0,-57.56,64.4,88,40,10.09
72,Puerto Ayora,EC,2020-11-07 18:31:22,-0.74,-90.35,77.0,65,40,18.34
73,Jamestown,US,2020-11-07 18:31:22,42.1,-79.24,66.2,42,1,9.17
74,Nortelandia,BR,2020-11-07 18:31:22,-14.45,-56.8,96.8,32,32,3.94
75,Pevek,RU,2020-11-07 18:31:22,69.7,170.31,17.46,97,100,2.89
76,Ust-Kulom,RU,2020-11-07 18:31:23,61.69,53.69,32.79,95,100,6.69
77,Gat,IL,2020-11-07 18:30:02,31.61,34.76,69.01,68,86,5.06
78,Roald,NO,2020-11-07 18:31:23,62.58,6.13,45.0,87,75,3.36
79,Grafton,US,2020-11-07 18:31:24,42.21,-71.69,75.0,37,1,10.29
80,Nizhniy Tsasuchey,RU,2020-11-07 18:31:24,50.52,115.13,12.96,90,0,9.93
81,Cape Town,ZA,2020-11-07 18:28:21,-33.93,18.42,64.99,82,75,13.87
82,Cidreira,BR,2020-11-07 18:31:24,-30.18,-50.21,70.56,74,0,15.08
83,Santa Maria,BR,2020-11-07 18:31:24,-29.68,-53.81,86.0,42,0,6.93
84,Saint-Philippe,RE,2020-11-07 18:31:24,-21.36,55.77,73.4,78,75,17.22
85,Guerrero Negro,MX,2020-11-07 18:31:25,27.98,-114.06,72.59,57,12,14.07
86,Namatanai,PG,2020-11-07 18:31:25,-3.67,152.43,79.32,76,74,5.26
87,Vaini,TO,2020-11-07 18:31:25,-21.2,-175.2,71.6,88,20,5.82
88,Weligama,LK,2020-11-07 18:31:25,5.97,80.42,78.06,85,0,3.98
89,Chinsali,ZM,2020-11-07 18:31:26,-10.54,32.08,75.97,28,0,9.89
90,Sao Filipe,CV,2020-11-07 18:31:26,14.9,-24.5,79.52,77,49,12.8
91,Pozo Colorado,PY,2020-11-07 18:31:27,-23.49,-58.8,104.49,17,1,2.59
92,Nador,MA,2020-11-07 18:29:43,35.17,-2.93,66.2,72,0,2.24
93,Bambous Virieux,MU,2020-11-07 18:31:27,-20.34,57.76,73.4,78,40,8.05
94,Norman Wells,CA,2020-11-07 18:31:27,65.28,-126.83,21.2,92,75,3.36
95,Sosnovo-Ozerskoye,RU,2020-11-07 18:31:28,52.52,111.54,7.68,93,73,7.18
96,Tornio,FI,2020-11-07 18:31:28,65.85,24.15,39.2,55,0,12.75
97,Krzeszowice,PL,2020-11-07 18:31:28,50.14,19.63,43.0,100,0,4.7
98,Alofi,NU,2020-11-07 18:27:53,-19.06,-169.92,75.2,78,3,11.41
99,Geraldton,AU,2020-11-07 18:31:10,-28.77,114.6,69.8,73,90,9.17
100,Port Lincoln,AU,2020-11-07 18:31:29,-34.73,135.87,59.02,76,0,16.58
101,Touros,BR,2020-11-07 18:31:30,-5.2,-35.46,87.8,62,40,14.99
102,Shiyan,CN,2020-11-07 18:31:30,32.65,110.78,54.32,42,0,3.22
103,Altea,ES,2020-11-07 18:31:30,38.6,-0.05,66.0,95,0,1.99
104,Tilichiki,RU,2020-11-07 18:31:30,60.47,166.1,18.28,95,0,7.78
105,Richards Bay,ZA,2020-11-07 18:31:30,-28.78,32.04,71.02,92,0,4.99
106,Tateyama,JP,2020-11-07 18:26:57,34.98,139.87,62.01,56,100,16.35
107,Atuona,PF,2020-11-07 18:31:31,-9.8,-139.03,77.61,73,88,15.93
108,Cherskiy,RU,2020-11-07 18:31:31,68.75,161.3,5.95,95,100,6.4
109,Tacuarembo,UY,2020-11-07 18:31:31,-31.73,-55.98,74.5,66,0,10.54
110,Arlit,NE,2020-11-07 18:31:31,18.74,7.39,79.38,20,0,17.98
111,Dangtu,CN,2020-11-07 18:31:32,31.57,118.49,60.01,100,0,2.24
112,Khor,RU,2020-11-07 18:31:32,47.89,134.95,25.81,98,56,4.32
113,Codrington,AU,2020-11-07 18:31:32,-38.27,141.97,40.53,93,6,6.73
